symbol,trade_id,entry_time,exit_time,duration_days,entry_price,exit_price,stop_loss,sl_distance_pct,atr_at_entry,direction,exit_reason,gross_return_pct,net_return_pct,is_win,m_ready,m_direction,m_compressed,m_mba_low,m_mba_high,m_continuity,w_ready,w_direction,w_compressed,w_mba_low,w_mba_high,w_continuity,d_ready,d_direction,d_compressed,d_mba_low,d_mba_high,d_continuity,alignment_summary,equity_before,equity_after,btc_regime
EURUSDm,1,2024-04-01,2024-05-28,57,1.07364,1.08509,1.08971143,1.5,0.00535714,bearish,direction_flip,-1.0665,-1.0765,False,True,bearish,True,1.076,1.098,1,True,bearish,True,1.0765,1.0865,1,True,bearish,True,1.0762,1.0802,1,[V3:balance_aligned] READY (BEARISH),1.0,0.989235,
EURUSDm,2,2024-08-13,2025-02-25,196,1.09954,1.052,1.08176286,1.62,0.00592571,bullish,direction_flip,-4.3236,-4.3336,False,True,bullish,True,1.071,1.095,1,True,bullish,True,1.088,1.101,1,True,bullish,True,1.0911,1.0939,1,[V3:balance_aligned] READY (BULLISH),0.989235,0.946366,
EURUSDm,3,2025-04-28,2025-04-29,1,1.14073,1.13902,1.098145,3.73,0.014195,bullish,direction_flip,-0.1499,-0.1599,False,True,bullish,True,1.04,1.115,1,True,bullish,True,1.132,1.146,1,True,bullish,True,1.1315,1.139,1,[V3:balance_aligned] READY (BULLISH),0.946366,0.944852,
EURUSDm,4,2025-06-10,2026-02-20,255,1.1437,1.17805,1.11617714,2.41,0.00917429,bullish,end_of_backtest,3.0034,2.9934,True,True,bullish,True,1.106,1.142,1,True,bullish,True,1.1345,1.1495,1,True,bullish,True,1.1387,1.1438,2,[V3:balance_aligned] READY (BULLISH),0.944852,0.973136,
GBPUSDm,1,2024-04-01,2024-07-30,120,1.25454,1.28372,1.27568143,1.69,0.00704714,bearish,direction_flip,-2.326,-2.336,False,True,bearish,True,1.257,1.289,1,True,bearish,True,1.258,1.2668,1,True,bearish,True,1.2585,1.2655,2,[V3:balance_aligned] READY (BEARISH),1.0,0.97664,
GBPUSDm,2,2025-02-10,2025-02-25,15,1.23591,1.26714,1.26642,2.47,0.01017,bearish,direction_flip,-2.5269,-2.5369,False,True,bearish,True,1.21,1.258,1,True,bearish,True,1.225,1.255,1,True,bearish,True,1.2375,1.2495,2,[V3:balance_aligned] READY (BEARISH),0.97664,0.951864,
GBPUSDm,3,2025-02-26,2025-04-01,34,1.26802,1.29212,1.24254786,2.01,0.00849071,bullish,direction_flip,1.9006,1.8906,True,True,bullish,True,1.225,1.272,1,True,bullish,True,1.2575,1.2635,1,True,bullish,True,1.2615,1.2665,1,[V3:balance_aligned] READY (BULLISH),0.951864,0.96986,
GBPUSDm,4,2025-06-11,2025-07-29,48,1.35673,1.33531,1.32987571,1.98,0.00895143,bullish,direction_flip,-1.5788,-1.5888,False,True,bullish,True,1.315,1.36,1,True,bullish,True,1.344,1.3615,1,True,bullish,True,1.3455,1.3565,1,[V3:balance_aligned] READY (BULLISH),0.96986,0.954451,
GBPUSDm,5,2025-12-19,2026-02-20,63,1.33747,1.34779,1.31501929,1.68,0.00748357,bullish,end_of_backtest,0.7716,0.7616,True,True,bullish,True,1.301,1.327,1,True,bullish,True,1.3285,1.344,1,True,bullish,True,1.334,1.3445,1,[V3:balance_aligned] READY (BULLISH),0.954451,0.96172,
USDJPYm,1,2025-06-19,2025-07-01,12,145.23,143.37,149.26778571,2.78,1.34592857,bearish,direction_flip,1.2807,1.2707,True,True,bearish,True,142.5,145.5,2,True,bearish,True,142.8,145.5,1,True,bearish,True,144.35,145.45,2,[V3:balance_aligned] READY (BEARISH),1.0,1.012707,
USDJPYm,2,2025-07-29,2025-08-26,28,148.422,147.469,144.62185714,2.56,1.26671429,bullish,direction_flip,-0.6421,-0.6521,False,True,bullish,True,144.2,151.0,1,True,bullish,True,145.9,148.7,1,True,bullish,True,147.5,148.65,1,[V3:balance_aligned] READY (BULLISH),1.012707,1.006104,
USDJPYm,3,2025-08-28,2025-09-30,33,146.828,148.021,150.18628571,2.29,1.11942857,bearish,direction_flip,-0.8125,-0.8225,False,True,bearish,True,146.2,148.8,2,True,bearish,True,146.6,148.8,2,True,bearish,True,147.4,147.95,1,[V3:balance_aligned] READY (BEARISH),1.006104,0.997828,
AUDUSDm,1,2024-04-25,2025-02-25,306,0.6521,0.63508,0.63439786,2.71,0.00590071,bullish,direction_flip,-2.61,-2.62,False,True,bullish,True,0.651,0.662,1,True,bullish,True,0.636,0.649,1,True,bullish,True,0.6488,0.651,1,[V3:balance_aligned] READY (BULLISH),1.0,0.9738,
AUDUSDm,2,2025-06-16,2025-07-01,15,0.65121,0.6579,0.66758357,2.51,0.00545786,bearish,direction_flip,-1.0273,-1.0373,False,True,bearish,True,0.6355,0.6535,1,True,bearish,True,0.6455,0.6545,1,True,bearish,True,0.647,0.6518,1,[V3:balance_aligned] READY (BEARISH),0.9738,0.963698,
AUDUSDm,3,2025-09-11,2025-09-30,19,0.66649,0.66103,0.65211357,2.16,0.00479214,bullish,direction_flip,-0.8192,-0.8292,False,True,bullish,True,0.6415,0.657,3,True,bullish,True,0.6485,0.659,1,True,bullish,True,0.658,0.6635,1,[V3:balance_aligned] READY (BULLISH),0.963698,0.955707,
USDCADm,1,2024-02-28,2024-04-30,62,1.3577,1.37768,1.33920286,1.36,0.00616571,bullish,direction_flip,1.4716,1.4616,True,True,bullish,True,1.341,1.36,1,True,bullish,True,1.344,1.3535,1,True,bullish,True,1.3493,1.3525,1,[V3:balance_aligned] READY (BULLISH),1.0,1.014616,
USDCADm,2,2024-10-07,2024-11-26,50,1.362,1.40519,1.341975,1.47,0.006675,bullish,direction_flip,3.1711,3.1611,True,True,bullish,True,1.342,1.365,2,True,bullish,True,1.347,1.359,1,True,bullish,True,1.3545,1.359,1,[V3:balance_aligned] READY (BULLISH),1.014616,1.046689,
USDCADm,3,2024-11-28,2025-07-29,243,1.40073,1.37741,1.42456071,1.7,0.00794357,bearish,direction_flip,1.6648,1.6548,True,True,bearish,True,1.382,1.418,1,True,bearish,True,1.393,1.41,2,True,bearish,True,1.4007,1.4078,1,[V3:balance_aligned] READY (BEARISH),1.046689,1.06401,
