symbol,trade_id,entry_time,exit_time,duration_days,entry_price,exit_price,stop_loss,sl_distance_pct,atr_at_entry,direction,exit_reason,gross_return_pct,net_return_pct,is_win,m_ready,m_direction,m_compressed,m_mba_low,m_mba_high,m_continuity,w_ready,w_direction,w_compressed,w_mba_low,w_mba_high,w_continuity,d_ready,d_direction,d_compressed,d_mba_low,d_mba_high,d_continuity,alignment_summary,equity_before,equity_after,btc_regime
EURUSDm,1,2023-09-27,2023-10-31,34,1.05049,1.05776,1.06984,1.84,0.00645,bearish,direction_flip,-0.6921,-0.7021,False,True,bearish,True,1.049,1.081,1,True,bearish,True,1.0635,1.07,1,True,bearish,True,1.0562,1.0608,1,[V3:balance_aligned] READY (BEARISH),1.0,0.992979,
EURUSDm,2,2024-03-27,2024-05-28,62,1.0812,1.08509,1.09686214,1.45,0.00522071,bearish,direction_flip,-0.3598,-0.3698,False,True,bearish,True,1.076,1.098,1,True,bearish,True,1.084,1.0905,1,True,bearish,True,1.0828,1.085,1,[V3:balance_aligned] READY (BEARISH),0.992979,0.989308,
EURUSDm,3,2024-08-06,2024-10-01,56,1.09255,1.10642,1.07557429,1.55,0.00565857,bullish,direction_flip,1.2695,1.2595,True,True,bullish,True,1.071,1.095,1,True,bullish,True,1.08,1.085,1,True,bullish,True,1.089,1.101,1,[V3:balance_aligned] READY (BULLISH),0.989308,1.001768,
EURUSDm,4,2024-10-03,2025-04-01,180,1.10346,1.07941,1.125705,2.02,0.007415,bearish,direction_flip,2.1795,2.1695,True,True,bearish,True,1.104,1.117,1,True,bearish,True,1.1085,1.1215,2,True,bearish,True,1.1033,1.1082,1,[V3:balance_aligned] READY (BEARISH),1.001768,1.023501,
EURUSDm,5,2025-05-02,2025-05-27,25,1.12998,1.13366,1.16106,2.75,0.01036,bearish,direction_flip,-0.3257,-0.3357,False,True,bearish,True,1.09,1.157,1,True,bearish,True,1.132,1.146,1,True,bearish,True,1.1285,1.1325,1,[V3:balance_aligned] READY (BEARISH),1.023501,1.020066,
EURUSDm,6,2025-06-10,2026-02-23,258,1.1437,1.18328,1.11617714,2.41,0.00917429,bullish,end_of_backtest,3.4607,3.4507,True,True,bullish,True,1.106,1.142,1,True,bullish,True,1.1345,1.1495,1,True,bullish,True,1.1387,1.1438,2,[V3:balance_aligned] READY (BULLISH),1.020066,1.055265,
GBPUSDm,1,2023-05-08,2023-05-30,22,1.2612,1.24118,1.234575,2.11,0.008875,bullish,direction_flip,-1.5874,-1.5974,False,True,bullish,True,1.227,1.258,1,True,bullish,True,1.244,1.265,1,True,bullish,True,1.258,1.263,1,[V3:balance_aligned] READY (BULLISH),1.0,0.984026,
GBPUSDm,2,2023-07-06,2023-08-01,26,1.27413,1.27941,1.24860429,2.0,0.00850857,bullish,direction_flip,0.4144,0.4044,True,True,bullish,True,1.25,1.275,1,True,bullish,True,1.259,1.276,1,True,bullish,True,1.2692,1.2723,1,[V3:balance_aligned] READY (BULLISH),0.984026,0.988006,
GBPUSDm,3,2023-08-15,2023-10-31,77,1.26996,1.215,1.30153714,2.49,0.01052571,bearish,direction_flip,4.3277,4.3177,True,True,bearish,True,1.272,1.3,1,True,bearish,True,1.262,1.287,1,True,bearish,True,1.2615,1.2715,1,[V3:balance_aligned] READY (BEARISH),0.988006,1.030665,
GBPUSDm,4,2024-01-31,2024-02-27,27,1.26789,1.26798,1.29038571,1.77,0.00749857,bearish,direction_flip,-0.0071,-0.0171,False,True,bearish,True,1.259,1.276,1,True,bearish,True,1.265,1.2775,1,True,bearish,True,1.264,1.272,1,[V3:balance_aligned] READY (BEARISH),1.030665,1.030488,
GBPUSDm,5,2024-03-27,2024-07-30,125,1.26163,1.28372,1.28341643,1.73,0.00726214,bearish,direction_flip,-1.7509,-1.7609,False,True,bearish,True,1.257,1.289,1,True,bearish,True,1.266,1.275,1,True,bearish,True,1.2625,1.265,2,[V3:balance_aligned] READY (BEARISH),1.030488,1.012343,
GBPUSDm,6,2025-02-10,2025-02-25,15,1.23591,1.26714,1.26642,2.47,0.01017,bearish,direction_flip,-2.5269,-2.5369,False,True,bearish,True,1.21,1.258,1,True,bearish,True,1.225,1.255,1,True,bearish,True,1.2375,1.2495,2,[V3:balance_aligned] READY (BEARISH),1.012343,0.986661,
GBPUSDm,7,2025-02-26,2025-04-01,34,1.26802,1.29212,1.24254786,2.01,0.00849071,bullish,direction_flip,1.9006,1.8906,True,True,bullish,True,1.225,1.272,1,True,bullish,True,1.2575,1.2635,1,True,bullish,True,1.2615,1.2665,1,[V3:balance_aligned] READY (BULLISH),0.986661,1.005314,
GBPUSDm,8,2025-06-10,2025-07-29,49,1.3507,1.33531,1.32510357,1.9,0.00853214,bullish,direction_flip,-1.1394,-1.1494,False,True,bullish,True,1.315,1.36,1,True,bullish,True,1.344,1.3615,1,True,bullish,True,1.3505,1.3585,1,[V3:balance_aligned] READY (BULLISH),1.005314,0.993759,
GBPUSDm,9,2025-12-19,2026-02-23,66,1.33747,1.35317,1.31501929,1.68,0.00748357,bullish,end_of_backtest,1.1739,1.1639,True,True,bullish,True,1.301,1.327,1,True,bullish,True,1.3285,1.344,1,True,bullish,True,1.334,1.3445,1,[V3:balance_aligned] READY (BULLISH),0.993759,1.005325,
USDJPYm,1,2023-08-28,2023-12-26,120,146.458,142.399,143.49528571,2.02,0.98757143,bullish,direction_flip,-2.7714,-2.7814,False,True,bullish,True,137.2,145.0,1,True,bullish,True,145.2,146.3,2,True,bullish,True,145.7,146.65,1,[V3:balance_aligned] READY (BULLISH),1.0,0.972186,
USDJPYm,2,2024-01-01,2024-02-27,57,140.952,150.465,145.11942857,2.96,1.38914286,bearish,direction_flip,-6.7491,-6.7591,False,True,bearish,True,140.2,147.5,1,True,bearish,True,140.2,142.8,1,True,bearish,True,141.0,141.65,1,[V3:balance_aligned] READY (BEARISH),0.972186,0.906475,
USDJPYm,3,2025-06-19,2025-07-01,12,145.23,143.37,149.26778571,2.78,1.34592857,bearish,direction_flip,1.2807,1.2707,True,True,bearish,True,142.5,145.5,2,True,bearish,True,142.8,145.5,1,True,bearish,True,144.35,145.45,2,[V3:balance_aligned] READY (BEARISH),0.906475,0.917993,
USDJPYm,4,2025-07-29,2025-08-26,28,148.422,147.469,144.62185714,2.56,1.26671429,bullish,direction_flip,-0.6421,-0.6521,False,True,bullish,True,144.2,151.0,1,True,bullish,True,145.9,148.7,1,True,bullish,True,147.5,148.65,1,[V3:balance_aligned] READY (BULLISH),0.917993,0.912007,
USDJPYm,5,2025-08-28,2025-09-30,33,146.828,148.021,150.18628571,2.29,1.11942857,bearish,direction_flip,-0.8125,-0.8225,False,True,bearish,True,146.2,148.8,2,True,bearish,True,146.6,148.8,2,True,bearish,True,147.4,147.95,1,[V3:balance_aligned] READY (BEARISH),0.912007,0.904506,
