symbol,score,total_return,profit_factor,max_drawdown,trades,data_years,win_rate,sharpe_ratio,avg_duration
BNB,0.70899,9595.52,44.5,20.55,11,12.0,45.5,0.45,99.4
CVC,0.633347,1392.47,13.73,30.0,8,8.8,62.5,0.44,109.4
ADA,0.629897,3043.5,18.82,45.07,8,11.4,62.5,0.41,109.4
FET,0.625944,8423.38,22.0,32.05,6,10.1,50.0,0.55,163.3
ANKR,0.625688,1586.33,15.29,36.29,8,9.6,50.0,0.47,57.1
IOTX,0.611062,1308.96,8.24,47.47,9,9.1,55.6,0.56,107.1
HOT,0.609814,1511.3,60.92,28.36,6,10.2,50.0,0.31,82.0
ZEC,0.606569,1285.98,34.65,19.41,5,10.0,60.0,0.35,122.8
ONE,0.584536,2668.39,17.36,66.68,8,9.8,50.0,0.35,95.2
MDT,0.578328,1596.02,10.59,52.58,7,8.3,85.7,0.77,112.1
CELR,0.562478,958.74,18.15,43.4,6,10.0,83.3,0.35,97.3
RSR,0.557897,146.61,7.03,10.34,6,8.0,66.7,0.62,77.3
BTC,0.547389,393.52,5.34,49.15,8,12.3,50.0,0.33,182.5
SOL,0.54432,1195.18,12.3,49.13,5,8.0,40.0,0.49,130.4
FUN,0.536614,437.3,11.39,41.53,6,9.4,33.3,0.32,57.7
SKL,0.535739,259.03,9.74,22.11,5,7.6,60.0,0.49,123.6
LSK,0.535453,92.51,2.59,35.44,9,8.8,44.4,0.32,97.2
CHZ,0.529513,1237.76,27.81,57.21,5,9.4,80.0,0.33,165.6
SUPER,0.529446,509.65,18.14,34.88,5,7.1,60.0,0.36,52.4
UMA,0.522053,388.27,5.52,45.94,6,7.9,50.0,0.48,82.8
MBL,0.517765,90.92,2.54,36.46,8,8.7,50.0,0.34,80.9
AVAX,0.516937,575.07,8.37,48.4,5,7.9,60.0,0.52,100.6
DOGE,0.516921,253.25,5.35,56.09,8,9.6,37.5,0.33,70.8
BAT,0.505877,210.66,3.79,43.15,6,10.1,50.0,0.41,125.5
CFX,0.501695,355.22,11.12,41.95,5,7.1,60.0,0.35,113.6
GNO,0.493999,58.79,3.14,15.85,6,6.5,50.0,0.37,71.5
IOST,0.476572,93.3,3.38,42.54,6,10.0,50.0,0.27,76.5
ALGO,0.475361,84.7,2.96,33.84,5,9.7,60.0,0.33,144.4
LINK,0.472627,91.07,2.74,59.06,8,10.3,50.0,0.29,133.9
VTHO,0.471375,217.08,8.65,60.97,6,8.1,33.3,0.3,59.0
QTUM,0.470397,96.62,3.04,61.28,8,11.5,25.0,0.26,103.9
ARDR,0.464695,54.94,2.58,61.12,9,8.4,44.4,0.26,63.4
NEAR,0.457319,138.65,4.99,50.83,5,7.8,40.0,0.3,80.8
SC,0.456981,81.23,3.22,49.75,6,8.2,33.3,0.29,68.0
CHR,0.445615,48.55,2.47,45.87,6,8.4,50.0,0.23,82.2
CKB,0.429542,176.43,6.57,66.74,5,7.4,60.0,0.32,42.0
MANA,0.428861,54.62,3.62,63.93,7,8.0,42.9,0.3,89.6
NEXO,0.423534,13.25,1.82,17.76,6,5.5,16.7,0.17,41.3
TFUEL,0.423041,34.25,3.08,65.73,8,9.8,50.0,0.24,85.8
BCH,0.419465,11.75,1.8,25.82,5,9.0,20.0,0.13,70.6
ENJ,0.412595,34.32,2.6,78.49,9,9.9,33.3,0.27,87.0
DCR,0.392698,67.63,4.44,70.98,5,8.1,40.0,0.26,123.0
IOTA,0.385556,13.73,2.06,45.5,5,11.2,40.0,0.16,141.0
HIVE,0.384628,25.5,2.8,57.05,5,8.5,40.0,0.2,70.4
SHIB,0.3835,79.73,5.49,71.77,5,6.9,20.0,0.3,63.2
SLP,0.380169,11.63,2.12,39.04,5,7.0,60.0,0.19,85.8
YFI,0.37434,10.7,1.67,46.76,5,8.0,40.0,0.15,108.2
POND,0.371673,22.29,2.67,56.09,5,7.2,40.0,0.22,102.8
NEO,0.35146,1.69,1.51,37.95,6,12.0,33.3,0.1,110.3
ICX,0.333841,-5.05,1.5,58.08,12,11.2,33.3,0.14,46.3
