symbol,trade_id,entry_time,exit_time,duration_days,entry_price,exit_price,stop_loss,sl_distance_pct,atr_at_entry,direction,exit_reason,gross_return_pct,net_return_pct,is_win,m_ready,m_direction,m_compressed,m_mba_low,m_mba_high,m_continuity,w_ready,w_direction,w_compressed,w_mba_low,w_mba_high,w_continuity,d_ready,d_direction,d_compressed,d_mba_low,d_mba_high,d_continuity,alignment_summary,equity_before,equity_after,btc_regime
1000SATS,1,2024-03-30,2024-04-12,13,0.0005373,0.00037078,0.00037078,30.99,5.551e-05,bullish,stop_loss,-30.9923,-31.1923,False,True,bullish,True,0.00047,0.00068,1,True,bullish,True,0.000475,0.00055,1,True,bullish,True,0.000498,0.000522,1,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],1.0,0.688077,bullish
1INCH,1,2021-08-06,2022-01-10,157,2.5134,1.97299286,1.97299286,21.5,0.18013571,bullish,stop_loss,-21.501,-21.701,False,True,bullish,True,1.6,2.95,1,True,bullish,True,1.95,2.45,1,True,bullish,True,2.2,2.39,1,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],1.0,0.78299,bullish
1INCH,2,2022-08-06,2022-09-06,31,0.808,0.61214286,0.61214286,24.24,0.06528571,bullish,stop_loss,-24.2397,-24.4397,False,True,bullish,True,0.54,0.84,1,True,bullish,True,0.715,0.86,1,True,bullish,True,0.8,0.858,1,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],0.78299,0.591629,neutral
1INCH,3,2023-07-01,2023-08-15,45,0.3324,0.27263571,0.27263571,17.98,0.01992143,bullish,stop_loss,-17.9796,-18.1796,False,True,bullish,True,0.235,0.375,1,True,bullish,True,0.288,0.35,1,True,bullish,True,0.295,0.328,1,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],0.591629,0.484073,neutral
1INCH,4,2024-02-09,2024-04-13,64,0.4261,0.35305,0.35305,17.14,0.02435,bullish,stop_loss,-17.1439,-17.3439,False,True,bullish,True,0.37,0.47,1,True,bullish,True,0.385,0.413,1,True,bullish,True,0.4005,0.4135,1,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],0.484073,0.400116,bullish
AAVE,1,2021-03-26,2021-05-23,58,358.428,255.52971429,255.52971429,28.71,34.29942857,bullish,stop_loss,-28.7082,-28.9082,False,True,bullish,True,330,500,1,True,bullish,True,350,418,1,True,bullish,True,298,334,1,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],1.0,0.710918,neutral
AAVE,2,2021-07-10,2021-12-04,147,294.7,196.01928571,196.01928571,33.49,32.89357143,bullish,stop_loss,-33.4851,-33.6851,False,True,bullish,True,170,390,1,True,bullish,True,250,350,1,True,bullish,True,276,314,1,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],0.710918,0.471444,bullish
AAVE,3,2022-08-05,2022-09-18,44,102.8,74.34285714,74.34285714,27.68,9.48571429,bullish,stop_loss,-27.682,-27.882,False,True,bullish,True,56,110,1,True,bullish,True,76,104,1,True,bullish,True,93.5,99.5,1,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],0.471444,0.339996,neutral
AAVE,4,2022-11-30,2022-12-17,17,65.3,53.45,53.45,18.15,3.95,bullish,stop_loss,-18.147,-18.347,False,True,bullish,True,50,90,1,True,bullish,True,55.5,60.0,3,True,bullish,True,60.7,61.9,1,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],0.339996,0.277617,neutral
AAVE,5,2024-02-27,2024-04-12,45,104.75,88.04214286,88.04214286,15.95,5.56928571,bullish,stop_loss,-15.9502,-16.1502,False,True,bullish,True,82,120,1,True,bullish,True,88.0,104.0,1,True,bullish,True,100.0,103.0,1,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],0.277617,0.232781,neutral
