symbol,trade_id,entry_time,exit_time,duration_days,entry_price,exit_price,stop_loss,sl_distance_pct,atr_at_entry,direction,exit_reason,gross_return_pct,net_return_pct,is_win,m_ready,m_direction,m_compressed,m_mba_low,m_mba_high,m_continuity,w_ready,w_direction,w_compressed,w_mba_low,w_mba_high,w_continuity,d_ready,d_direction,d_compressed,d_mba_low,d_mba_high,d_continuity,alignment_summary,equity_before,equity_after,btc_regime
1000SATS,1,2024-03-09,2024-03-26,17,0.0006478,0.0005148,0.00036355,43.88,9.475e-05,bullish,direction_flip,-20.531,-20.731,False,True,bullish,True,0.0004,0.00068,2,True,bullish,True,0.00056,0.00082,1,True,bullish,True,0.000632,0.000662,1,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],1.0,0.79269,
1000SATS,2,2024-10-18,2025-01-28,102,0.0002846,0.0001098,0.00021845,23.24,2.205e-05,bullish,direction_flip,-61.4195,-61.6195,False,True,bullish,True,0.00024,0.00038,2,True,bullish,True,0.000252,0.000302,1,True,bullish,True,0.00027,0.00028,1,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],0.79269,0.304238,
1000SATS,3,2025-03-20,2025-04-29,40,0.0001214,4.56e-05,0.00011525,5.07,2.05e-06,bullish,direction_flip,-62.4382,-62.6382,False,True,bullish,True,0.0001,0.000145,2,True,bullish,True,0.0001202,0.0001242,1,True,bullish,True,0.0001207,0.0001218,2,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],0.304238,0.113669,
1INCH,1,2021-07-31,2022-04-26,269,2.3755,1.288,1.78152143,25.0,0.19799286,bullish,direction_flip,-45.7798,-45.9798,False,True,bullish,True,1.6,2.95,1,True,bullish,True,2.02,2.35,1,True,bullish,True,2.185,2.26,1,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],1.0,0.540202,
1INCH,2,2022-08-06,2022-09-27,52,0.808,0.607,0.61214286,24.24,0.06528571,bullish,direction_flip,-24.8762,-25.0762,False,True,bullish,True,0.54,0.84,1,True,bullish,True,0.715,0.86,1,True,bullish,True,0.8,0.858,1,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],0.540202,0.404739,
1INCH,3,2022-11-19,2022-11-29,10,0.538,0.519,0.4015,25.37,0.0455,bullish,direction_flip,-3.5316,-3.7316,False,True,bullish,True,0.535,0.675,2,True,bullish,True,0.51,0.532,1,True,bullish,True,0.515,0.535,1,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],0.404739,0.389636,
1INCH,4,2024-01-06,2024-01-30,24,0.4651,0.4105,0.30335714,34.78,0.05391429,bullish,direction_flip,-11.7394,-11.9394,False,True,bullish,True,0.345,0.415,1,True,bullish,True,0.365,0.545,1,True,bullish,True,0.463,0.485,1,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],0.389636,0.343116,
AAVE,1,2021-07-10,2022-05-31,325,294.7,112.9,196.01928571,33.49,32.89357143,bullish,direction_flip,-61.6899,-61.8899,False,True,bullish,True,170,390,1,True,bullish,True,260,348,1,True,bullish,True,276,314,1,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],1.0,0.381101,
AAVE,2,2022-08-05,2022-12-27,144,102.8,57.5,74.34285714,27.68,9.48571429,bullish,direction_flip,-44.0661,-44.2661,False,True,bullish,True,56,110,1,True,bullish,True,76,104,1,True,bullish,True,93.5,99.5,1,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],0.381101,0.212403,
AAVE,3,2023-07-01,2023-08-01,31,68.14,65.6,51.03785714,25.1,5.70071429,bullish,direction_flip,-3.7276,-3.9276,False,True,bullish,True,47,77,1,True,bullish,True,57.5,71.5,1,True,bullish,True,64.5,70.0,1,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],0.212403,0.20406,
AAVE,4,2024-02-27,2024-10-29,245,104.75,151.49,88.04214286,15.95,5.56928571,bullish,direction_flip,44.6205,44.4205,True,True,bullish,True,82,120,1,True,bullish,True,88.0,102.0,1,True,bullish,True,100.0,103.0,1,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],0.20406,0.294705,
AAVE,5,2025-05-27,2025-08-26,91,271.57,335.73,208.85714286,23.09,20.90428571,bullish,direction_flip,23.6256,23.4256,True,True,bullish,True,165,285,1,True,bullish,True,212,270,1,True,bullish,True,259.0,277.0,1,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],0.294705,0.363741,
ACH,1,2023-09-26,2024-01-30,126,0.01593,0.01937,0.01258286,21.01,0.00111571,bullish,direction_flip,21.5945,21.3945,True,True,bullish,True,0.0128,0.017,2,True,bullish,True,0.0148,0.016,1,True,bullish,True,0.01488,0.01548,1,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],1.0,1.213945,
ACH,2,2025-01-28,2025-02-25,28,0.0309,0.03036,0.01764857,42.88,0.00441714,bullish,direction_flip,-1.7476,-1.9476,False,True,bullish,True,0.022,0.033,1,True,bullish,True,0.0195,0.0225,1,True,bullish,True,0.022,0.047,1,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],1.213945,1.190302,
ACM,1,2022-11-29,2022-12-27,28,2.641,2.345,1.82178571,31.02,0.27307143,bullish,direction_flip,-11.2079,-11.4079,False,True,bullish,True,2.1,3.5,1,True,bullish,True,2.33,2.85,1,True,bullish,True,2.43,2.495,1,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],1.0,0.885921,
ACM,2,2023-02-04,2023-02-28,24,2.813,2.734,2.4545,12.74,0.1195,bullish,direction_flip,-2.8084,-3.0084,False,True,bullish,True,2.3,3.45,1,True,bullish,True,2.69,2.81,1,True,bullish,True,2.735,2.855,1,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],0.885921,0.859269,
ACM,3,2023-07-13,2023-08-29,47,2.012,1.975,1.75935714,12.56,0.08421429,bullish,direction_flip,-1.839,-2.039,False,True,bullish,True,1.62,2.27,1,True,bullish,True,1.895,1.975,1,True,bullish,True,1.943,1.975,1,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],0.859269,0.841749,
ACM,4,2023-09-30,2023-12-26,87,1.789,2.069,1.66514286,6.92,0.04128571,bullish,direction_flip,15.6512,15.4512,True,True,bullish,True,1.73,1.95,1,True,bullish,True,1.758,1.792,1,True,bullish,True,1.768,1.793,1,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],0.841749,0.971809,
ACM,5,2024-03-31,2024-07-30,121,2.793,1.629,2.30528571,17.46,0.16257143,bullish,direction_flip,-41.6756,-41.8756,False,True,bullish,True,2.25,3.0,1,True,bullish,True,2.72,2.84,1,True,bullish,True,2.745,2.815,3,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],0.971809,0.564858,
ACM,6,2025-04-29,2025-05-27,28,0.825,0.94,0.70671429,14.34,0.03942857,bullish,direction_flip,13.9394,13.7394,True,True,bullish,True,0.7,1.06,1,True,bullish,True,0.772,0.858,1,True,bullish,True,0.805,0.86,1,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],0.564858,0.642466,
ADA,1,2019-03-19,2019-04-30,42,0.05205,0.0701,0.04404643,15.38,0.00266786,bullish,direction_flip,34.6782,34.4782,True,True,bullish,True,0.036,0.0505,1,True,bullish,True,0.0447,0.0508,1,True,bullish,True,0.049,0.0509,1,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],1.0,1.344782,
ADA,2,2019-06-01,2019-08-27,87,0.09047,0.04988,0.06593857,27.12,0.00817714,bullish,direction_flip,-44.8657,-45.0657,False,True,bullish,True,0.072,0.092,2,True,bullish,True,0.08,0.097,1,True,bullish,True,0.0815,0.09,1,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],1.344782,0.738747,
ADA,3,2019-12-07,2020-09-01,269,0.03842,0.12445,0.03080857,19.81,0.00253714,bullish,direction_flip,223.9198,223.7198,True,True,bullish,True,0.0375,0.0455,1,True,bullish,True,0.0362,0.0396,2,True,bullish,True,0.03725,0.03785,1,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],0.738747,2.391469,
ADA,4,2020-10-13,2020-10-27,14,0.10925,0.10256,0.08782571,19.61,0.00714143,bullish,direction_flip,-6.1236,-6.3236,False,True,bullish,True,0.075,0.107,1,True,bullish,True,0.0915,0.098,1,True,bullish,True,0.102,0.1135,1,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],2.391469,2.240243,
ADA,5,2020-12-19,2021-06-29,192,0.16433,1.373,0.12845429,21.83,0.01195857,bullish,direction_flip,735.5139,735.3139,True,True,bullish,True,0.09,0.185,1,True,bullish,True,0.154,0.167,1,True,bullish,True,0.158,0.1695,2,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],2.240243,18.71306,
ADA,6,2021-10-01,2021-10-26,25,2.256,2.137,1.67123571,25.92,0.19492143,bullish,direction_flip,-5.2748,-5.4748,False,True,bullish,True,1.9,2.95,2,True,bullish,True,2.05,2.27,1,True,bullish,True,2.03,2.145,1,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],18.71306,17.688553,
ADA,7,2023-10-05,2024-05-28,236,0.2602,0.4576,0.23879286,8.23,0.00713571,bullish,direction_flip,75.8647,75.6647,True,True,bullish,True,0.237,0.268,1,True,bullish,True,0.2405,0.256,1,True,bullish,True,0.2525,0.2615,1,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],17.688553,31.072547,
ADA,8,2024-10-19,2024-10-29,10,0.3513,0.3561,0.3087,12.13,0.0142,bullish,direction_flip,1.3664,1.1664,True,True,bullish,True,0.305,0.415,2,True,bullish,True,0.339,0.371,2,True,bullish,True,0.3425,0.353,2,[ALIGNED] M:✓⊕(bullish) W:✓⊕(bullish) D:✓⊕(bullish) [compression-gate],31.072547,31.434963,
