symbol,trade_id,entry_time,exit_time,duration_days,entry_price,exit_price,stop_loss,sl_distance_pct,atr_at_entry,direction,exit_reason,gross_return_pct,net_return_pct,is_win,m_ready,m_direction,m_compressed,m_mba_low,m_mba_high,m_continuity,w_ready,w_direction,w_compressed,w_mba_low,w_mba_high,w_continuity,d_ready,d_direction,d_compressed,d_mba_low,d_mba_high,d_continuity,alignment_summary,equity_before,equity_after,btc_regime
ETH,1,2018-01-02,2018-05-29,147,855.28,567.36,520.79285714,39.11,111.49571429,bullish,direction_flip,-33.6638,-33.8638,False,False,bullish,True,380,860,1,True,bullish,True,650,800,1,True,bullish,True,722,752,1,[V3:breakout_ready] READY (BULLISH),1.0,0.661362,
BNB,1,2018-06-21,2018-07-31,40,17.0727,13.8369,12.88767857,24.51,1.39500714,bullish,direction_flip,-18.9531,-19.1531,False,False,bullish,True,11.5,16.2,2,True,bullish,True,14.2,15.6,1,True,bullish,True,15.6,16.85,1,[V3:breakout_ready] READY (BULLISH),1.0,0.808469,
TRX,1,2018-09-04,2018-09-05,1,0.02524,0.02153,0.018925,25.02,0.002105,bullish,direction_flip,-14.6989,-14.8989,False,False,bullish,True,0.016,0.031,1,True,bullish,True,0.021,0.028,1,True,bullish,True,0.02445,0.0259,1,[V3:breakout_ready] READY (BULLISH),1.0,0.851011,
QTUM,1,2018-09-22,2019-01-29,129,3.757,1.839,2.81885714,24.97,0.31271429,bullish,direction_flip,-51.0514,-51.2514,False,False,bullish,True,3.5,6.7,1,True,bullish,True,3.15,3.75,1,True,bullish,True,3.75,4.05,1,[V3:breakout_ready] READY (BULLISH),1.0,0.487486,
LTC,1,2018-09-26,2020-02-25,517,57.18,70.98,43.92214286,23.19,4.41928571,bullish,direction_flip,24.1343,23.9343,True,False,bullish,True,47.0,69.0,2,True,bullish,True,51.5,58.0,1,True,bullish,True,55.0,57.2,1,[V3:breakout_ready] READY (BULLISH),1.0,1.239343,
XLM,1,2018-11-06,2019-07-30,266,0.2688,0.08341,0.23707714,11.8,0.01057429,bullish,direction_flip,-68.9695,-69.1695,False,True,bullish,True,0.18,0.305,1,True,bullish,True,0.218,0.245,1,True,bullish,True,0.243,0.2465,1,[V3:balance_aligned] READY (BULLISH),1.0,0.308305,
VET,1,2019-01-15,2019-01-16,1,0.003852,0.003933,0.00285986,25.76,0.00033071,bullish,direction_flip,2.1028,1.9028,True,False,bullish,True,0.0032,0.0052,1,True,bullish,True,0.00385,0.0044,1,True,bullish,True,0.00373,0.00395,1,[V3:breakout_ready] READY (BULLISH),1.0,1.019028,
VET,2,2019-01-17,2019-01-18,1,0.004191,0.004014,0.00317336,24.28,0.00033921,bullish,direction_flip,-4.2233,-4.4233,False,False,bullish,True,0.0032,0.0052,1,True,bullish,True,0.00385,0.0044,1,True,bullish,True,0.003805,0.003955,1,[V3:breakout_ready] READY (BULLISH),1.019028,0.973953,
ADA,1,2019-02-12,2019-02-13,1,0.04173,0.04107,0.0351,15.89,0.00221,bullish,direction_flip,-1.5816,-1.7816,False,False,bullish,True,0.0365,0.054,2,True,bullish,True,0.0362,0.0395,1,True,bullish,True,0.0416,0.0421,1,[V3:breakout_ready] READY (BULLISH),1.0,0.982184,
QTUM,2,2019-02-12,2019-02-13,1,1.952,1.914,1.68028571,13.92,0.09057143,bullish,direction_flip,-1.9467,-2.1467,False,False,bullish,True,1.78,2.58,2,True,bullish,True,1.73,1.86,1,True,bullish,True,1.9,1.92,1,[V3:breakout_ready] READY (BULLISH),0.487486,0.477021,
ETC,1,2019-02-13,2019-02-14,1,4.0982,4.1065,3.57017857,12.88,0.17600714,bullish,direction_flip,0.2025,0.0025,True,False,bullish,True,3.75,5.4,2,True,bullish,True,3.65,4.28,1,True,bullish,True,4.04,4.12,3,[V3:breakout_ready] READY (BULLISH),1.0,1.000025,
ADA,2,2019-03-12,2019-04-30,49,0.04718,0.0701,0.04039571,14.38,0.00226143,bullish,direction_flip,48.5799,48.3799,True,False,bullish,True,0.036,0.0505,1,True,bullish,True,0.039,0.0473,1,True,bullish,True,0.045,0.0473,1,[V3:breakout_ready] READY (BULLISH),0.982184,1.457364,
ICX,1,2019-04-02,2019-04-30,28,0.3872,0.3403,0.30913571,20.16,0.02602143,bullish,direction_flip,-12.1126,-12.3126,False,True,bullish,True,0.255,0.39,1,True,bullish,True,0.312,0.343,3,True,bullish,True,0.34,0.367,1,[V3:balance_aligned] READY (BULLISH),1.0,0.876874,
TRX,2,2019-05-29,2019-12-31,216,0.03365,0.0133,0.02384429,29.14,0.00326857,bullish,direction_flip,-60.4755,-60.6755,False,True,bullish,True,0.022,0.041,1,True,bullish,True,0.024,0.029,1,True,bullish,True,0.0325,0.037,2,[V3:balance_aligned] READY (BULLISH),0.851011,0.334656,
FET,1,2019-06-08,2019-06-25,17,0.2131,0.1625,0.12213571,42.69,0.03032143,bullish,direction_flip,-23.7447,-23.9447,False,False,bullish,False,0.09,0.34,2,True,bullish,True,0.185,0.215,1,True,bullish,True,0.195,0.218,2,[V3:breakout_ready] READY (BULLISH),1.0,0.760553,
LINK,1,2019-06-13,2019-12-31,201,1.868,1.7673,1.30117143,30.34,0.18894286,bullish,direction_flip,-5.3908,-5.5908,False,False,bullish,False,0.5,1.45,1,True,bullish,True,0.9,1.35,1,True,bullish,True,1.1,1.14,2,[V3:breakout_ready] READY (BULLISH),1.0,0.944092,
IOTA,1,2019-06-22,2019-08-27,66,0.4639,0.2602,0.37865714,18.38,0.02841429,bullish,direction_flip,-43.9103,-44.1103,False,False,bullish,False,0.26,0.56,1,True,bullish,True,0.4,0.478,3,True,bullish,True,0.419,0.429,1,[V3:breakout_ready] READY (BULLISH),1.0,0.558897,
DOGE,1,2019-10-19,2019-10-20,1,0.0027176,0.0027151,0.00221544,18.48,0.00016739,bullish,direction_flip,-0.092,-0.292,False,False,bullish,True,0.00195,0.0028,1,True,bullish,True,0.0023,0.00298,1,True,bullish,True,0.00258,0.00298,1,[V3:breakout_ready] READY (BULLISH),1.0,0.99708,
DOGE,2,2019-10-21,2019-10-22,1,0.0026879,0.0025311,0.00212465,20.96,0.00018775,bullish,direction_flip,-5.8336,-6.0336,False,False,bullish,True,0.00195,0.0028,1,True,bullish,True,0.0023,0.00298,1,True,bullish,True,0.00258,0.00298,1,[V3:breakout_ready] READY (BULLISH),0.99708,0.936921,
IOTA,2,2019-10-26,2019-10-29,3,0.2687,0.2802,0.22605714,15.87,0.01421429,bullish,direction_flip,4.2799,4.0799,True,False,bullish,True,0.225,0.315,1,True,bullish,True,0.242,0.283,1,True,bullish,True,0.254,0.272,1,[V3:breakout_ready] READY (BULLISH),0.558897,0.581699,
ALGO,1,2019-10-29,2020-02-25,119,0.2262,0.3938,0.17404286,23.06,0.01738571,bullish,direction_flip,74.0937,73.8937,True,True,bullish,True,0.195,0.28,2,True,bullish,True,0.195,0.238,1,True,bullish,True,0.218,0.24,1,[V3:balance_aligned] READY (BULLISH),1.0,1.738937,
BNB,2,2019-10-30,2020-02-25,118,20.052,20.3193,16.12337143,19.59,1.30954286,bullish,direction_flip,1.333,1.133,True,False,bullish,True,14.8,21.2,1,True,bullish,True,16.1,19.8,2,True,bullish,True,19.8,21.25,1,[V3:breakout_ready] READY (BULLISH),0.808469,0.81763,
NEO,1,2019-10-31,2019-12-31,61,10.536,8.678,7.34164286,30.32,1.06478571,bullish,direction_flip,-17.6348,-17.8348,False,True,bullish,True,7.0,11.8,1,True,bullish,True,6.9,7.4,2,True,bullish,True,10.1,11.55,1,[V3:balance_aligned] READY (BULLISH),1.0,0.821652,
ONG,1,2019-11-01,2019-11-26,25,0.1556,0.1098,0.10466429,32.74,0.01697857,bullish,direction_flip,-29.4344,-29.6344,False,False,bullish,True,0.115,0.205,2,True,bullish,True,0.123,0.137,1,True,bullish,True,0.1545,0.1635,1,[V3:breakout_ready] READY (BULLISH),1.0,0.703656,
DUSK,1,2019-11-02,2020-02-25,115,0.0567,0.0377,0.04045714,28.65,0.00541429,bullish,direction_flip,-33.5097,-33.7097,False,True,bullish,True,0.049,0.08,1,True,bullish,True,0.049,0.0655,2,True,bullish,True,0.0537,0.0563,1,[V3:balance_aligned] READY (BULLISH),1.0,0.662903,
TFUEL,1,2019-11-02,2019-12-31,59,0.00348,0.002369,0.00265929,23.58,0.00027357,bullish,direction_flip,-31.9253,-32.1253,False,False,bullish,True,0.003,0.0052,1,True,bullish,True,0.00315,0.0038,1,True,bullish,True,0.00335,0.00356,2,[V3:breakout_ready] READY (BULLISH),1.0,0.678747,
WIN,1,2019-11-16,2020-02-25,101,0.0001751,0.0001,0.00014109,19.42,1.134e-05,bullish,direction_flip,-42.8898,-43.0898,False,False,bullish,True,0.00012,0.000235,1,True,bullish,True,0.000175,0.000185,3,True,bullish,True,0.000171,0.000181,1,[V3:breakout_ready] READY (BULLISH),1.0,0.569102,
