symbol,trade_id,entry_time,exit_time,duration_days,entry_price,exit_price,stop_loss,sl_distance_pct,atr_at_entry,direction,exit_reason,gross_return_pct,net_return_pct,is_win,m_ready,m_direction,m_compressed,m_mba_low,m_mba_high,m_continuity,w_ready,w_direction,w_compressed,w_mba_low,w_mba_high,w_continuity,d_ready,d_direction,d_compressed,d_mba_low,d_mba_high,d_continuity,alignment_summary,equity_before,equity_after,btc_regime
ETH,1,2018-01-02,2018-03-18,75,855.28,520.79285714,520.79285714,39.11,111.49571429,bullish,stop_loss,-39.1085,-39.3085,False,False,bullish,True,380,860,1,True,bullish,True,650,800,1,True,bullish,True,722,752,1,[V3:breakout_ready] READY (BULLISH),1.0,0.606915,neutral
TRX,1,2018-09-04,2018-09-05,1,0.02524,0.02153,0.018925,25.02,0.002105,bullish,direction_flip,-14.6989,-14.8989,False,False,bullish,True,0.016,0.031,1,True,bullish,True,0.021,0.028,1,True,bullish,True,0.02445,0.0259,1,[V3:breakout_ready] READY (BULLISH),1.0,0.851011,bullish
QTUM,1,2018-09-22,2018-11-19,58,3.757,2.81885714,2.81885714,24.97,0.31271429,bullish,stop_loss,-24.9705,-25.1705,False,False,bullish,True,3.5,6.7,1,True,bullish,True,3.15,3.75,1,True,bullish,True,3.75,4.05,1,[V3:breakout_ready] READY (BULLISH),1.0,0.748295,bullish
LTC,1,2018-09-26,2018-11-14,49,57.18,43.92214286,43.92214286,23.19,4.41928571,bullish,stop_loss,-23.1862,-23.3862,False,False,bullish,True,47.0,69.0,2,True,bullish,True,51.5,58.0,1,True,bullish,True,55.0,57.2,1,[V3:breakout_ready] READY (BULLISH),1.0,0.766138,neutral
XLM,1,2018-11-06,2018-11-14,8,0.2688,0.23707714,0.23707714,11.8,0.01057429,bullish,stop_loss,-11.8017,-12.0017,False,True,bullish,True,0.18,0.305,1,True,bullish,True,0.218,0.245,1,True,bullish,True,0.243,0.2465,1,[V3:balance_aligned] READY (BULLISH),1.0,0.879983,neutral
ADA,1,2019-03-12,2019-04-30,49,0.04718,0.0701,0.04039571,14.38,0.00226143,bullish,direction_flip,48.5799,48.3799,True,False,bullish,True,0.036,0.0505,1,True,bullish,True,0.039,0.0473,1,True,bullish,True,0.045,0.0473,1,[V3:breakout_ready] READY (BULLISH),1.0,1.483799,bullish
LTC,2,2019-03-19,2019-10-23,218,59.52,48.53357143,48.53357143,18.46,3.66214286,bullish,stop_loss,-18.4584,-18.6584,False,True,bullish,True,32.0,54.0,1,True,bullish,True,51.5,62.0,2,True,bullish,True,58.5,60.5,1,[V3:balance_aligned] READY (BULLISH),0.766138,0.623189,bullish
ICX,1,2019-04-02,2019-04-30,28,0.3872,0.3403,0.30913571,20.16,0.02602143,bullish,direction_flip,-12.1126,-12.3126,False,True,bullish,True,0.255,0.39,1,True,bullish,True,0.312,0.343,3,True,bullish,True,0.34,0.367,1,[V3:balance_aligned] READY (BULLISH),1.0,0.876874,bullish
TRX,2,2019-05-29,2019-07-15,47,0.03365,0.02384429,0.02384429,29.14,0.00326857,bullish,stop_loss,-29.1403,-29.3403,False,True,bullish,True,0.022,0.041,1,True,bullish,True,0.024,0.029,1,True,bullish,True,0.0325,0.037,2,[V3:balance_aligned] READY (BULLISH),0.851011,0.601322,bullish
LINK,1,2019-10-12,2019-12-17,66,2.5975,1.90835714,1.90835714,26.53,0.22971429,bullish,stop_loss,-26.531,-26.731,False,True,bullish,True,1.45,2.27,1,True,bullish,True,1.95,2.95,1,True,bullish,True,2.55,2.76,2,[V3:balance_aligned] READY (BULLISH),1.0,0.73269,neutral
DOGE,1,2019-10-19,2019-10-20,1,0.0027176,0.0027151,0.00221544,18.48,0.00016739,bullish,direction_flip,-0.092,-0.292,False,False,bullish,True,0.00195,0.0028,1,True,bullish,True,0.0023,0.00298,1,True,bullish,True,0.00258,0.00298,1,[V3:breakout_ready] READY (BULLISH),1.0,0.99708,neutral
